Date,Close
2023-07-18,211.57
2023-07-17,211.87
2023-07-14,213.12
2023-07-13,216.85
2023-07-12,217.11
2023-07-11,218.76
2023-07-10,213.31
2023-07-07,212.1
2023-07-06,212.62
2023-07-05,213.31
2023-07-03,210.92
2023-06-30,211.16
2023-06-29,211.83
2023-06-28,210.72
2023-06-27,209.43
2023-06-26,205.58
2023-06-23,205.41
2023-06-22,205.61
2023-06-21,212.08
2023-06-20,212.37
2023-06-16,219.99
2023-06-15,219.41
2023-06-14,216.9
2023-06-13,220.38
2023-06-12,221.56
2023-06-09,217.31
2023-06-08,218.11
2023-06-07,211.93
2023-06-06,207.29
2023-06-05,208.78
2023-06-02,213.32
2023-06-01,207.96
2023-05-31,205.7
2023-05-30,204.69
2023-05-26,203.63
2023-05-25,200.87
2023-05-24,199.27
2023-05-23,202.6
2023-05-22,205.91
2023-05-19,205.49
2023-05-18,207.24
2023-05-17,206.87
2023-05-16,200.87
2023-05-15,202.77
2023-05-12,200.7
2023-05-11,201.84
2023-05-10,200.84
2023-05-09,201.88
2023-05-08,197.26
2023-05-05,198.34
2023-05-04,197.05
2023-05-03,200.93
2023-05-02,203.25
2023-05-01,203.87
2023-04-28,206.78
2023-04-27,206.04
2023-04-26,203.03
2023-04-25,202.19
2023-04-24,205.77
2023-04-21,205.15
2023-04-20,207.23
2023-04-19,208.71
2023-04-18,208.37
2023-04-17,205.03
2023-04-14,201.71
2023-04-13,213.59
2023-04-12,212.34
2023-04-11,212.32
2023-04-10,210.78
2023-04-06,211.37
2023-04-05,210.0
2023-04-04,213.9
2023-04-03,215.39
2023-03-31,212.43
2023-03-30,211.04
2023-03-29,207.97
2023-03-28,204.96
2023-03-27,200.57
2023-03-24,197.53
2023-03-23,197.9
2023-03-22,196.16
2023-03-21,204.7
2023-03-20,204.77
2023-03-17,201.05
2023-03-16,203.19
2023-03-15,198.21
2023-03-14,207.28
2023-03-13,203.37
2023-03-10,203.07
2023-03-09,201.24
2023-03-08,207.2
2023-03-07,207.92
2023-03-06,211.92
2023-03-03,215.11
2023-03-02,210.06
2023-03-01,204.55
2023-02-28,201.55
2023-02-27,200.46
2023-02-24,198.15
2023-02-23,208.13
2023-02-22,205.76
2023-02-21,205.52
2023-02-17,211.66
2023-02-16,212.21
2023-02-15,217.44
2023-02-14,218.45
2023-02-13,215.65
2023-02-10,212.89
2023-02-09,211.99
2023-02-08,213.5
2023-02-07,214.76
2023-02-06,206.81
2023-02-03,206.01
2023-02-02,209.34
2023-02-01,214.75
2023-01-31,213.0
2023-01-30,209.67
2023-01-27,211.17
2023-01-26,212.73
2023-01-25,212.68
2023-01-24,211.98
2023-01-23,209.97
2023-01-20,206.76
2023-01-19,207.09
2023-01-18,209.41
2023-01-17,211.41
2023-01-13,214.13
2023-01-12,214.32
2023-01-11,208.03
2023-01-10,206.69
2023-01-09,208.57
2023-01-06,213.0
2023-01-05,204.99
2023-01-04,203.64
2023-01-03,195.39
2022-12-30,190.49
2022-12-29,188.91
2022-12-28,188.38
2022-12-27,189.4
2022-12-23,189.06
2022-12-22,188.25
2022-12-21,196.0
2022-12-20,188.29
2022-12-19,185.68
2022-12-16,184.7
2022-12-15,183.72
2022-12-14,188.25
2022-12-13,187.13
2022-12-12,186.27
2022-12-09,179.54
2022-12-08,179.08
2022-12-07,176.5
2022-12-06,178.43
2022-12-05,185.1
2022-12-02,182.87
2022-12-01,175.78
2022-11-30,178.88
2022-11-29,175.32
2022-11-28,171.83
2022-11-25,178.36
2022-11-23,174.85
2022-11-22,172.5
2022-11-21,172.94
2022-11-18,173.89
2022-11-17,172.78
2022-11-16,172.69
2022-11-15,175.35
2022-11-14,173.55
2022-11-11,177.49
2022-11-10,177.58
2022-11-09,168.74
2022-11-08,169.62
2022-11-07,164.91
2022-11-04,160.01
2022-11-03,156.75
2022-11-02,147.41
2022-11-01,143.38
2022-10-31,142.51
2022-10-28,143.84
2022-10-27,139.76
2022-10-26,133.79
2022-10-25,146.65
2022-10-24,142.05
2022-10-21,141.32
2022-10-20,139.13
2022-10-19,138.39
2022-10-18,137.34
2022-10-17,136.09
2022-10-14,133.15
2022-10-13,132.4
2022-10-12,130.42
2022-10-11,131.57
2022-10-10,131.9
2022-10-07,129.79
2022-10-06,132.2
2022-10-05,132.11
2022-10-04,133.51
2022-10-03,126.05
2022-09-30,121.08
2022-09-29,125.33
2022-09-28,133.44
2022-09-27,127.51
2022-09-26,127.34
2022-09-23,131.26
2022-09-22,138.71
2022-09-21,143.29
2022-09-20,145.94
2022-09-19,144.88
2022-09-16,144.29
2022-09-15,149.78
2022-09-14,149.26
2022-09-13,147.31
2022-09-12,158.72
2022-09-09,157.52
2022-09-08,157.79
2022-09-07,155.95
2022-09-06,152.39
2022-09-02,151.82
2022-09-01,153.66
2022-08-31,160.25
2022-08-30,162.21
2022-08-29,165.42
2022-08-26,164.53
2022-08-25,169.38
2022-08-24,163.6
2022-08-23,160.07
2022-08-22,158.98
2022-08-19,162.92
2022-08-18,168.69
2022-08-17,167.2
2022-08-16,172.08
2022-08-15,170.47
2022-08-12,169.99
2022-08-11,167.88
2022-08-10,169.02
2022-08-09,164.85
2022-08-08,165.89
2022-08-05,165.04
2022-08-04,166.5
2022-08-03,166.64
2022-08-02,163.28
2022-08-01,169.07
2022-07-29,159.31
2022-07-28,159.09
2022-07-27,156.09
2022-07-26,155.92
2022-07-25,156.64
2022-07-22,158.16
2022-07-21,161.41
2022-07-20,158.38
2022-07-19,156.13
2022-07-18,147.72
2022-07-15,147.74
2022-07-14,147.15
2022-07-13,143.95
2022-07-12,147.15
2022-07-11,136.99
2022-07-08,139.07
2022-07-07,139.97
2022-07-06,136.31
2022-07-05,137.7
2022-07-01,139.84
2022-06-30,136.72
2022-06-29,138.45
2022-06-28,138.7
2022-06-27,138.72
2022-06-24,141.53
2022-06-23,133.97
2022-06-22,137.16
2022-06-21,136.75
2022-06-17,136.8
2022-06-16,133.36
2022-06-15,133.72
2022-06-14,122.16
2022-06-13,115.86
2022-06-10,127.0
2022-06-09,133.73
2022-06-08,139.63
2022-06-07,140.82
2022-06-06,139.24
